Symbol,logFC,P.Value,adj.P.Val
SNN,0.675749503806677,4.93177409721481e-09,1.97038382902228e-08
DHRS3,0.675322562195208,1.73302641666068e-10,8.45553569469156e-10
SUPT6H,0.675164807542118,7.77685716516621e-17,1.01502145549277e-15
LCORL,0.674810478148502,1.58264338222207e-07,5.20051258072197e-07
SPATA2,0.674730101017954,4.92982902357282e-09,1.97002901675279e-08
ESRRA,0.674676861149152,4.12956017977855e-13,2.92426833703316e-12
IL1R1,0.674081216181122,3.64827952065228e-11,1.95842839014738e-10
ACMSD,0.673788471029687,0.0458708021168054,0.0659268977369694
UBTD2,0.673720405470665,1.39816603449956e-11,7.988662952484e-11
SBF1,0.67366573870517,6.50900272360809e-15,6.18637392976072e-14
NSDHL,0.673625302569413,1.28796501566527e-13,9.846223118117e-13
KMT2C,0.673611579713542,1.64942313432168e-14,1.44667992364647e-13
KPNA1,0.673559027394314,9.27947353102618e-15,8.51135962949143e-14
LARP4B,0.67348227522643,6.63210519217019e-14,5.31195430045844e-13
STAG3L4,0.673260887463268,1.26923214933321e-09,5.46958353740403e-09
FBN3,0.673247569484874,0.158047619579157,0.201981100315954
ZNF383,0.67306454496002,2.31985842938976e-06,6.48335903538257e-06
HIST2H3D,0.672116885599408,0.161595141432007,0.205977995213359
EPHA2,0.672002700640686,3.93824250858691e-15,3.88982320482474e-14
C12orf23,0.671738025895663,1.07836618262116e-15,1.15908817253132e-14
CDC34,0.671455846136909,3.0140814969972e-13,2.17738181941992e-12
DNAJC2,0.67132227562383,2.50588963066554e-14,2.13458733712725e-13
MIR219-1,0.670976936846166,0.208362480935449,0.25827746206936
KLHL11,0.670827604983764,0.000187461651382501,0.000404481391348352
AGAP8,0.670336658740038,0.000202249103503379,0.000434326396024423
ZFAND6,0.670292802583027,4.04769871355637e-14,3.35293371658949e-13
RAB43P1,0.670018631007993,7.21120897635705e-05,0.000164668601937445
BAI1,0.669823321342641,0.151072837713602,0.194065445537675
POLR1C,0.669788598666706,1.48864782166908e-11,8.46671287771386e-11
PBRM1,0.669224174083477,3.16521653762443e-13,2.27773381576232e-12
ANO9,0.66910844761913,0.00972157645155304,0.01587999490833
NDUFA13,0.669027486111354,0.00767536959193668,0.0127692170360185
PHF13,0.668673816642725,4.9453592395701e-11,2.60445339098919e-10
MCFD2P1,0.668272698671759,0.161725696731642,0.20611621551452
MBTD1,0.667906873079759,1.56443799540882e-11,8.8734009003133e-11
LRRC8A,0.667788108508511,4.36682543921655e-14,3.59968564954083e-13
SIRT2,0.667726162924756,1.36385404586768e-12,8.99169144212303e-12
RPF2,0.66742573017201,3.0519337662387e-10,1.43063233237316e-09
KCTD2,0.66714045173771,1.19307771301076e-11,6.87262196296522e-11
DGCR8,0.666890247997182,1.25433483798726e-12,8.31080437625546e-12
GRN,0.666802474860889,7.36372883442292e-17,9.6583517252621e-16
ZNF600,0.666488878939952,1.63738650767938e-07,5.37187286219473e-07
PINK1,0.666075700632365,2.88812674921459e-12,1.81608995789006e-11
GORAB,0.666001754823884,7.01492741912563e-12,4.17313173436526e-11
LIG4,0.665855718865065,5.89870759221007e-10,2.65748397639863e-09
SLC18A2,0.665551924954979,7.41140101497634e-07,2.21474574502371e-06
KAT7,0.665211648269663,1.71668288394768e-14,1.5021378211745e-13
ZHX1,0.664974789392452,1.73380158401981e-12,1.12869695853864e-11
FAM222A,0.66466779619207,2.26696504610348e-05,5.54484180174234e-05
STK24,0.664498270870236,4.33755394719179e-15,4.26388873775108e-14
BCL2A1,0.663402122340488,0.505174291119552,0.56258594872647
CORO7,0.663141760547577,0.00067603289369316,0.00134470662461613
SOX15,0.66312343105146,0.0249037476249142,0.0377331963444558
DZANK1,0.663035121324387,0.0518147046835595,0.0735844609792884
EIF2B4,0.662658335162917,4.34040499811327e-13,3.0630998998423e-12
RIPK2,0.662279096281473,1.25425308391955e-10,6.24880218607125e-10
CUL7,0.662203176804219,1.07462844378936e-13,8.31075723458344e-13
IPO8P1,0.662145513860551,9.53124452873532e-07,2.80327182462631e-06
SMYD4,0.662098574554014,1.09141480111969e-10,5.48296201166276e-10
WDR55,0.662053442775481,1.44217661852342e-12,9.47454628693673e-12
F10,0.661943436015969,0.0193890265427519,0.03001683501153
BEGAIN,0.661932884502757,2.8446374486549e-15,2.86276202851134e-14
LRCH4,0.661712946260551,2.85551890892306e-12,1.79619174568032e-11
DMWD,0.661577306400551,5.83713907667647e-12,3.5184509037302e-11
GRIN2C,0.661544789608214,0.0041712729647909,0.0072719283058435
ZNF592,0.661145872598396,3.05616982203926e-13,2.20522234390894e-12
CASKIN1,0.660872098531756,0.119997112104814,0.157778213432771
CTAGE7P,0.660710698987487,0.137431115505861,0.178286429372746
FAM83B,0.659687580114572,2.65531238186274e-06,7.36234932656319e-06
USP11,0.659625829590299,3.65963683824286e-15,3.63390044705224e-14
CDH12P3,0.659394869160305,0.121426360426258,0.159454978202254
BMS1P9,0.65880928539553,0.333841632748159,0.393258775828605
ESRRAP1,0.658788567515872,0.00221648370679266,0.00404397128084821
GTF3C4,0.65864475502539,1.16881004910911e-14,1.05492889565596e-13
LARP4,0.657832017232534,1.82686693429247e-15,1.89477717981876e-14
TIMP3,0.657481827138571,1.26800612528754e-09,5.46682816634495e-09
MYADM,0.657109864548869,4.91586947466759e-14,4.01322712522359e-13
C6orf1,0.656977355800897,5.82755320818401e-07,1.76694219447102e-06
PVT1,0.656748194094566,1.337812599848e-12,8.84189760140676e-12
ZBTB46,0.656693613260301,1.0829106472434e-09,4.72311330761087e-09
WDR45,0.656410304992355,1.04529145026184e-13,8.104052433436e-13
FOXK1,0.656383278901758,8.0401609044326e-14,6.34699360172871e-13
C21orf2,0.656081776314668,5.83997510971811e-07,1.77013264099734e-06
ST18,0.656004721506189,0.000756486461485929,0.00149263123747351
SKOR1,0.655999901520422,0.0846655673142509,0.114990225310641
MPHOSPH10,0.655932937300554,1.79014448054463e-13,1.33941039054158e-12
CHIC2,0.65587781019937,1.61751744881335e-07,5.31042631865125e-07
EFNA4,0.655755648296814,2.42783056007861e-08,8.87079121324156e-08
ELK4,0.655736678643069,4.79416489798657e-13,3.36802281826889e-12
SLC7A1,0.65547786687331,1.5024568931129e-15,1.57584645885415e-14
SIK2,0.65543558128219,1.14908714875739e-14,1.0386365799486e-13
HSD17B6,0.654686898778491,0.0404415915463586,0.0587627959180659
TROVE2,0.654667407935326,3.65816743182842e-12,2.25979971632217e-11
CYP20A1,0.65464999123888,2.65402782459942e-06,7.3598825464788e-06
USPL1,0.654644264558527,5.47720167478145e-09,2.17246403095502e-08
AGAP10,0.654406987946686,0.00373642490479225,0.00656542730041652
CHST7,0.654166824407743,6.60457542397398e-07,1.98510041528829e-06
SIK1,0.654132910834418,1.17279872106474e-17,1.7771237856264e-16
SRP68,0.653938300767804,2.23541182710201e-15,2.28168705550532e-14
PRKAA2,0.653716291535247,1.91834210843799e-11,1.07144321897115e-10
CD58,0.653445046777577,7.79011896902456e-10,3.45695803201618e-09
NRG1,0.653078154892754,0.000283791940965736,0.000597662620985241
TRAF2,0.653067484606046,3.55010738063438e-15,3.53078449094256e-14
WDR59,0.652708539278049,1.38546791149419e-11,7.92096654430328e-11
IL20,0.652578525423811,0.101303972995004,0.13533846594581
SMG7,0.652373717036699,3.11985129702564e-15,3.12790685712555e-14
UTP23,0.652231633284241,5.90710921442898e-10,2.65998312487382e-09
CDK8,0.651953266524538,1.15093981978492e-09,4.99795348582278e-09
TMEM156,0.651802474558625,0.126258321901332,0.16518339208178
TAF5,0.651690314633118,1.65469885614235e-09,7.03473478120007e-09
ABHD17B,0.65150552397983,4.00493131840265e-09,1.61812074381939e-08
C2orf49,0.651401357095012,3.78441875934388e-11,2.02567480863444e-10
MICALL2,0.650992142770988,8.94846329746822e-13,6.05421418379276e-12
GALK2,0.650846396246449,8.42676076875486e-10,3.72724340885522e-09
SEC23IP,0.650566301926726,2.79815529979966e-12,1.76248795125603e-11
ENTPD7,0.650473534565572,3.19196282275421e-10,1.49214454704021e-09
TERF2,0.650382957974314,8.86656545379147e-13,6.00490722847985e-12
BPTF,0.650256097881419,8.39195820038196e-14,6.60233503329333e-13
RSF1,0.650231686938522,1.36589966756184e-13,1.04036117711556e-12
PIM1,0.650177105761547,3.83842433577862e-14,3.18808167425321e-13
PMS2CL,0.65007974520443,1.00810786934408e-10,5.08088547020956e-10
MTSS1L,0.649862289242418,6.36757938265845e-13,4.39714503645751e-12
UBE2W,0.649690593481263,5.61223225974989e-10,2.53516201786763e-09
BAZ1A,0.649553521556197,2.31308310101034e-13,1.7019835308579e-12
JAM2,0.649202370193272,0.299643030498242,0.357332318281799
MGLL,0.648922106265074,7.05455836748885e-15,6.63384757080006e-14
PCDH1,0.648564417260559,0.00646414865950364,0.0109089824987168
FGF12,0.648504463472883,2.42982995494442e-09,1.01245630897058e-08
CDIP1,0.648492088499033,2.41587280068747e-12,1.53938588920387e-11
ACVR2A,0.648457642849397,2.23128463552778e-05,5.46187063789949e-05
SAFB,0.647983783420528,6.77229028946526e-16,7.56726297452359e-15
RAB2B,0.647967034866675,1.32286791650334e-07,4.39337352597812e-07
DYM,0.647739528821035,2.34416734629841e-11,1.28880799410944e-10
